star,date,title,review
1,13-04-2023,this college is a disgrace,the colleges assessment return times are months not the advertised  business daysthe old online platform was outdated the new online learning platform doesn't function properlythe student support is extremely unhelpful they mostly do not even reply to emails and if they do they do so with extreme delays and unhelpful repliesso many more problems with itthis college is a disgrace never again
1,12-04-2023,open colleges is a scam,if you value your mental health dont waste your time by applying to possibly the worst education provider in australia the staff turnover is ridiculous the staff yell at you and berate you every chance they get ive been falsely accused by staff i have been threatened by staff it takes months for them to mark assessments the online learning platform is riddled with mistakes and inaccuracies so much so that it looks like its been created by a  year old most of the educators do not have any form of qualifications to be educators ive read more witnessed instances of staff berating students for correcting their mistakes ive seen staff run out of class rooms crying because theyve been caught out by lying and providing false information to students my mental health is at such a stage now after attending open colleges that i have problems sleeping and due to the threats ive been subjected to am afraid for my personal safety  please dont put your mental and physical health at risk by attending or applying to open colleges it will be the worst mistake you ever make
2,11-04-2023,half way through and the platform changes for the worse,the learning platform was what sold me on this online course half way though my course they upgrade the learning platform it was a big hype up for a deevolved downgrade for a platform that used to be community based easy to work through would save where you were up to and easy to contact trainers  this has all been taken away with no regard to how it would effect the students learning materials have not been transferred across in entirety and if you didnt have access to the old platform simultaneously you would not know to contact t read morerainers you need to now do this via your external email the activities cant be done on the platform so doesnt entice you to actually do them and there is no longer a community base to look at others answers for different views and opinions there is no longer a study buddy option all up if i could get a refund and transfer to another provider i would i would not recommend this training provider until the platform improves
1,11-04-2023,scam,don't even bother you are literally paying them to not talk to you just throw your money in the bin because you'll get the same result
1,04-04-2023,so terrible please dont never take classes with this,we are in at least april  and still in the same situation even worse nothing has changed since  opencollege still taking payment of money without doing nothing the educator is never here to correct my courses  and customer service is the worse i never seen in my life now i understand why so many bad reviews aboutopencollege it should be shared with a lot of people to avoid falling into the trapalmost  months that i am with open college and too much delay too much injustice in the process motivation of the students have completed read more the modules and still waiting teachers to review my modules to let me completed the work placement there is not following close with student  they do everything to put the students very very low very unfair despite the calls etcconversation it gets worse and worsemajority of the links on the course pages no longer even exist and teachers don't care about it even you try to explain that the link are not working anymoreteachers putting not satisfactory every second paragraph even i try my best they booked me appointment for teacher training finally canceled it without raison and confirmation they are not care about studentscustomer service are speaking not really correctly and are not understanding what is sure i will talk about open college a lot so that avoids people to fall in the trapi'm still waiting for how long you cannot do your job properly as a training
5,03-04-2023,hlt certificate  in dental assisting,dorina iancu was an excellent trainer who assisted me multiple times and was great at explaining things i was very satisfied with the course content and find it useful in my current job the course held significant amount of difficulty where i was challenged yet the assignments were able to be completed
1,30-03-2023,scam,i believe this place is a scam i canceled the course with them within the  day cooling period and was told that the course was canceled  weeks later they have taken  out of my account and still counting i have called  times only to sit on hold for over an hour and have someone tell me that the money would be refunded this has not been the case today was the th call with someone telling me the same story stay far far away from this place
1,28-03-2023,do not enrol with open colleges,its very draining and frustrating i enrolled in nail certificate iii last year november and i am now regretting choosing open college for my course as i was almost finished with my academic work and they did not help me to find my placement as they say in beginning when you enquire them''we will help you to find placement in case you don't find''  and they did not help at allstudent support made me to do my course again due to transition from openspace to open spacex all time they have technical issues which need to be fixed to continue my co read moreurse and i contacted student support its been more than three weeks i am calling and emailing them i have  months to finish my course i feel half of time i will be waiting  fix technical issues  i am not getting any reply back from student support and technical issues are not fixed do not know what to do  i feel i have no choice of taking this further and make formal complaint against them as i have had enough all open college is want just your money  i would suggest do not study with open college
1,23-03-2023,this college and the people who run it are useless,i've finished my course  i have called open colleges over  times in the past fortnight via email and phone call for an email confirmation so i can attend interviews  since finishing or since paying my course off i have had no communication from this crap of a college  no email no text no phone call  nothing  i have an interview on monday it's thursday  i've called and called and emailed  no communication whatsoever  absolutely furious
5,23-03-2023,thank you,i have learnt a lot  very useful material dorina the assessor is  very supportive and so friendly  she replies very quick even if it's weekendshe kept pushing me to finish on timei really appreciate it
