star,date,title,review
1 out of 5 stars,2023-04-04T05:46:34.000Z,SO TERRIBLE PLEASE DON’T NEVER TAKE CLASSES WITH THIS,"We are in at least April 2023 and still in the same situation even worse nothing has changed since , Opencollege still taking payment of money without doing nothing. The educator is never here to correct my courses , and customer service is the worse I never seen in my life .Now I understand why so many bad reviews aboutOpencollege, it should be shared with a lot of people to avoid falling into the trap.Almost 4 months that I am with open college and too much delay, too much injustice, in the process motivation of the students, have completed... Read more the modules and still waiting teachers to review my modules to let me completed the work placement there is not following close with student , they do everything to put the students very very low, very unfair. despite the calls, etc...conversation it gets worse and worse.
Majority of the links on the course pages no longer even exist and teachers don't care about it even you try to explain that the link are not working anymore.
Teachers putting not satisfactory every second paragraph even I try my best. They booked me appointment for teacher training finally canceled it without raison and confirmation, they are not care about students
Customer service are speaking not really correctly and are not understanding what is sure I will talk about open college a lot so that ,avoids people to fall in the trap.
I'm still waiting for how long ????
You cannot do your job properly as a training"
5 out of 5 stars,2023-04-03T11:48:58.000Z,HLT35015 Certificate 3 in dental assisting,"Dorina Iancu was an excellent trainer who assisted me multiple times and was great at explaining things. I was very satisfied with the course content and find it useful in my current job. The course held significant amount of difficulty where I was challenged, yet the assignments were able to be completed."
1 out of 5 stars,2023-03-30T05:56:15.000Z,SCAM!!!!,I believe this place is a scam. I canceled the course with them within the 7 day cooling period and was told that the course was canceled. 6 weeks later they have taken $330 out of my account and still counting. I have called 5 times only to sit on hold for over an hour and have someone tell me that the money would be refunded. This has not been the case. Today was the 5th call with someone telling me the same story. Stay far far away from this place.
1 out of 5 stars,2023-03-28T00:16:27.000Z,Do not enrol with open colleges,"Its very draining and frustrating I enrolled in nail certificate III last year November and I am now regretting choosing open college for my course as I was almost finished with my academic work and they did not help me to find my placement as they say in beginning when you enquire them''we will help you to find placement in case you don't find''  and they did not help at all.Student support made me to do my course again due to transition from openspace to open spaceX. all time they have technical issues which need to be fixed to continue my co... Read moreurse and I contacted student support its been more than three weeks I am calling and emailing them. I have 12 months to finish my course I feel half of time I will be waiting  fix technical issues . I am not getting any reply back from student support and technical issues are not fixed, do not know what to do . I feel I have no choice of taking this further and make formal complaint against them as I have had enough. All open college is want just your money . I would suggest do not study with open college"
1 out of 5 stars,2023-03-23T13:56:17.000Z,This College and the people who run it are useless,"I've finished my course.  I have called Open Colleges over 10 times in the past fortnight via email and phone call for an email confirmation so I can attend interviews.  Since finishing or since paying my course off I have had no communication from this crap of a College.  No email, no text, no phone call.  Nothing.  I have an interview on Monday, it's Thursday.  I've called and called and emailed.  No communication whatsoever.  Absolutely furious."
5 out of 5 stars,2023-03-23T09:54:17.000Z,Thank you,"I have learnt a lot , very useful material Dorina the assessor is  very supportive and so friendly , she replies very quick even if it's weekendShe kept pushing me to finish on timeI really appreciate it"
1 out of 5 stars,2023-03-18T06:27:50.000Z,"Don't waste your money, SCAM","I am stuck studying the Diploma of Counselling. I submitted my very last assessment on the 10 December 2022, it is now 18 March 2023 and haven't heard from anyone. This is when in thier own policy states, assessments are marked within 10-15 days. I've sent emails to facilitators and student support, only to fall on deaf ears. This institution just wants your money, as when your about to qualify they go to ground. I also made a formal complaint through the institution again falling on deaf ears. I have now made a formal complaint through Austral... Read moreian Skills and Quality Authority due to the non existent support. Also dont hold your breath if you have to do work placement. They pretend to help by asking for an application but do nothing. We get taught to do assessment plans perhaps this college needs to learn how to do management plans as its appalling. The main and only assessor is in the UK while there is a backlog of assessments. Continous smoke and mirrors and no action. What is the college doing to rectify this, NOTHING. Do this Diploma through AIPC or a selected university with good reviews."
5 out of 5 stars,2023-03-15T12:02:12.000Z,Open college is the way to start your studies!!,Honestly Dorina my teacher has made my learning experience very easy and stress free. I don’t think I would be able to complete the course without her help.The over all course of my certificate III in dental assisting was very informative and had easy access.Support team was always there when needed and where very helpful.Definitely would do a course with Open colleges again !!
1 out of 5 stars,2023-03-14T09:21:03.000Z,"Unprofessional people, worst college",If I can rate it lower than 1 star I will! The course is 2 yrs instead of 18 Months. The course coordinator is not helpful. If you defer though you’re done with the module she will still ask you to attend the class again. Not practical. I suggest do uni than study with them or enrol elsewhere.. theory can be done online with other colleges.
1 out of 5 stars,2023-03-10T06:35:04.000Z,"They don't really care about their duty of care, you are just $$$ to them.","I was about to get a job as a student support officer at Stride Learning. I would have also chosen to study with them if I had known about them before I started with open college. I was doing really well for the first 2 weeks and hit a stumbling block. I reached out for help and was given a very vague response. The expectations of some of the assignments are not clear and it is hard to find more information on what is expected. I then go covid, then found a new job (part of the reason I chose to start studying).  I chose the new job over the St... Read moreride learning job. Stride learning, during the interview, stated that they call people after two weeks of no progress. They talk them through any issues and strive to have zero dropouts for any other reason than those that are compassionate and compelling. I got one email that looked like an advertisement after 8 weeks of not doing anything. Didn't get anything else. no emails no phone calls to offer support until I asked to withdraw from the course. I tried to complain and state that if they had followed their duty of care and called me earlier, like in July or August, I may have been able to either complete the assignment or withdraw from it earlier and be able to get more money back than I am getting now... I missed the October cut-off because of their lack of care. STAY AWAY"
