rating,date,title,review
1,2023-03-29T04:41:01.000Z,I believe this place is a scam,I believe this place is a scam. I canceled the course with them within the 7 day cooling period and was told that the course was canceled. 6 weeks later they have taken $330 out of my account and still counting. I have called 5 times only to sit on hold for over an hour and have someone tell me that the money would be refunded. This has not been the case. Today was the 5th call with someone telling me the same story. Stay far far away from this place.
1,2023-04-03T02:28:06.000Z,"BIG SCAM don’t ever enrol with open colleges you not gonna ,you will lose your time ,energy and money for nothing","Since I’m still in the same situation nothing has changed.don’t ever enrol with open colleges you not gonna ,you will lose your time ,energy and money for nothingI have called Open Colleges over 20times by email and phone call ,there are canceling all appointments scheduled all at least all my online courses are closed without possibility to reopened without educator assessment . Educator not professional,This institution just wants your money .NOW I UNDERSTAND WHY MANY BAD REVIEWS ABOUT THEM , it should be shared with a lot of people to avoid falling into the trap. SO I WILL MAKE VIDEOS ABOUT THEMAlmost 11months that I am with open college and too much delay, too much injustice, in the process motivation of the students, have completed the modules  and  still waiting teachers to review my modules to let me  completed the work placement ,there is not following close with student ,they do everything to put the students very very low, very unfair. despite the calls, etc...conversation it gets worse and worse.Majority of the links on the course pages no longer even exist and teachers don’t care about it ,even you try to explain that the link are not working anymore.Teachers putting not satisfactory every second paragraph even I  try my best . They booked me appointment for teacher training finally canceled it without raison and confirmation, they are not care about studentsCustomer service are speaking not really correctly and are not understandingwhat is sure I will talk about open college a lot so that ,avoids people  to fall in the trap.I’m still waiting for how long ????You cannot do your job properly as a training center ?"
1,2023-03-06T07:04:18.000Z,If I could give zero stars for Open…,"If I could give zero stars for Open Colleges then I would. I wish I had done my research before studying online with them. Terrible product all round, if I started trying to list all the things wrong I would never stop. Please please please if you are considering using them don't."
1,2023-03-03T06:16:30.000Z,Zero star!!!!,"I have been studying diploma with Open colleges and I regretted that I chose Open colleges. I don`t even want to give them a star. They have recently changed the platform and I was hoping it would be better but it`s getting worse. I won`t get any support and when I try to chat with someone for support, the student support is never available. I wish I could get the money back. I will never recommend Open Colleges to anyone. It is waste of money and time!"
1,2023-03-03T00:56:14.000Z,Choosing Open college for study is the…,"Choosing Open college for study is the biggest and worst mistake of my career. I will not recommend open college to anybody. No support at all from student support, they won't reply back to yours emails and they do not care if you are struggling . When you enquire about course they say they will help you to find placement but they don't. After your fee is paid you are on your own in the middle of sea ."
2,2023-02-28T01:24:36.000Z,Used to be ok now a 0,"The only time it is easy to get through to open colleges is when you are signing up and paying money.  Good luck getting help.  There is no communication between assessors and students.  No feedback on assessments when you eventually get them back.  The new OSX has taken any ability to communicate and get help away.  They don't listen and act on complaints.  I contacted 60 minutes and a couple of other news shows, hopefully they will report on all of the bad service."
1,2023-02-22T04:45:51.000Z,They’re taking longer to mark then it took me to do the work,"I’m still waiting for them to complete my marking, they didn’t start until I had everything completed which took me 2 months to complete and it’s been 5 months now since I submitted my last assignment and they still are not finished, they had to give me 2 extensions so far of 3 months to accommodate how slow they’re marking process is, which doesn’t fully compensate the time wasted for what is supposed to be a 10 working day’s process. I’m being left short on time to complete my need work placement and which I planned to have extra time to complete so I could do my placement where I wanted but due to the delays it looks like that will be unlikely to happen now."
1,2023-01-25T09:31:45.000Z,The most racist college in Australia,"The most racist college in Australia, if asian students have completed 77% assignment, they don't get chance to go for final placement but Aussie do get chance even if they have completed less than 50% . The tutors always target asian students."
5,2022-12-21T23:01:21.000Z,Great,"I completed my diploma in leadership and management with a young family and stressful job.  Work at your own pace with the option of extending the time if the course is complete within the 2 years.Positive -Very helpful assessors.Work at your own pace.Helpful tips and video's on each project/assignment.Option to extend course time.Negative -When the new course changed over in April, the tips and videos were not made.Overall I was very happy with the structure by open colleges. Mostly easy to understand criteria and great support from all assessors. Will highly recommend to friends and colleagues."
1,2022-11-02T13:57:33.000Z,Disappointed,"I was only online using the course for 3 months. I have not been back on since December last year, which they have access to.After weeks of attempting to cancel the course due to extreme personal circumstances. I was finally permitted to end the course. But have now been charged a fee of $6587 to exit. Absolute greed mungers ... Do not sign up !!!"
5,2022-10-19T09:54:53.000Z,My experience with completing my diploma in community services,I was concerned when starting a course online I was worried I wouldn't get the support I needed. This definitely isn't the case with opencolleges I can't recommend them enough you will get the support you need and all very friendly. I was worried when starting my diploma in community services that I would have the time to study with 3 young children but I did it easy with in a year and a half. Very happy😁
1,2022-10-20T10:14:25.000Z,If I could rate less I would,If I could rate less I would. Run the other way! They don’t help with placements and even if you are experiencing financial hardship and provide all the necessary documents they deny you and send you to the debt collectors. Course work is outdated and student support is none existent. Study anywhere else!There needs to be a class action against these thieves
1,2022-10-10T08:10:49.000Z,Wouldn't recommend,Wouldn't recommend studying through Open Colleges. Assessors don't check in on students and offer limited assistance. Emails to student support are ignored. The assistance they say they offer on their website aren't followed through/true. Seems as if they prefer to let their students struggle so they receive more money (extension fees).Do yourself a favour and study online elsewhere.
1,2022-10-11T08:07:05.000Z,If I could give less of a rating I…,"If I could give less of a rating I would, i do not recommend these fraudsters. My girlfriend cancelled her inrolement in a course and they still billed us for not cancelling in time even though will rang them in time before the cut off date. Now they are trying to milk us for money saying will still have overdue payments. Teachers don't care about their students passing just trying to milk payments. Courses are old and not up to date. They are nothing but scammers."
5,2022-08-30T06:18:39.000Z,I had a great experience with Open…,"I had a great experience with Open Colleges. The online learning experience was easy for me to navigate through and I received great support from the assessors and online help.I appreciated the feedback and guidance.I will definitely be coming back to do further training and study through them as its made it easy for me to balance single parenting, studying and working."
4,2022-10-04T09:52:12.000Z,Pleasantly Surprised,"I was very satisfied with the assortment of topics covered in the Community Services Diploma and it provided a good overview of the industry. I would recommend they add additional information regarding law proceedings (which many community members face) but there was a plethora of information specific to counselling methods. Start early on applying for Work Placement, left mine till the last minute and it was stressful. Very good assessment walk through recordings by the teaching team so it didn't feel as overwhelming."
1,2022-08-18T10:20:06.000Z,Awful services.,I have been waiting for my certificate for a long time now despite following up and no action (no one cares to replies emails). I was being told to check my junk mail as an excuse to delay the process. I could not talk to the person (Joshua) who was following my case because Rozelle didn't see the need for me to do that. Rozelle made sure I can't talk to anyone. I don't trust the college.
1,2022-09-07T12:13:16.000Z,They are horrible. DON'T USE THEIR COMPANY.,They are horrible. Meticulous and nit-picky. They take forever to respond to and mark assignments and they charge you (50$) to re-submit) if you fail 3x which you will. Even using the marking key as a guide you will still receive it back. They don't want you to succeed and make it incredibly difficult to do so.
5,2022-08-03T05:47:45.000Z,Diploma of Community Services - Great Experience,"The resources and online help were educational, relevant and up to date.  The user platform and modules were easy to navigate and very helpful too.  Video assessment walkthroughs were great as was the weekly 'ask anything' session with trainer (as well as response times when emailing trainer or help desk).  Recommend for anyone serious about this field."
1,2022-07-06T06:04:14.000Z,STAY AWAY,"I started this course as it was meant to be generic to fit any industry they said, well that was rubbish. The course content was poorly developed, the content was not relevant and when trying to explain this to them they didn't even want to listen.I am now going to be over 4K out of pocket and i have only done two models.Stay well away from OC, I wish I had read some of these reviews before signing up."
4,2022-06-30T07:07:52.000Z,Very pleased to have completed this course,"I did find it hard to be self motivated - in hindsight it would have been good to have a study buddy. Overall I found that when I reached out for help the staff were very supportive. The content became much more interesting as I started my work placement. And as hoped, I got a job where I did my work placement! Very pleased and proud of myself for getting to the end!"
1,2023-01-13T09:14:02.000Z,False information,"I was taking like a quiz thing to see what my future job could be since I’m curious, they said it would only take 5MINS and it took me forever and I didn’t even get results!!"
1,2022-06-02T02:25:39.000Z,If I could give them zero stars I…,"If I could give them zero stars I would. If you become sick and have to stop the course, you get charged a very large amount. They have a tiered system so depending on when you have to cancel you get charged more and more. Their policies punish you for your health, something no one can control. Be careful with this company, they are money hungry and don’t care that actual humans are trying to study."
1,2022-09-22T03:53:08.000Z,What a scam don't waste your time and money,"The assessments are very unfairly marked, and then you will be asked to pay a fee to resubmit. Some of the course content is over a decade old and is no longer relevant at all. The majority of the links on the course pages no longer even exist. There are spelling mistakes in every second paragraph, they did not even bother to run a spell check before publishing the course. Student support is close to non-existent, you will be waiting several weeks for a reply to an inquiry. This organisation only cares about attempting to milk as much money as they possibly can from students."
5,2022-05-12T09:06:28.000Z,Open Colleges - Diploma Community Services,"The assessors have been incredible, flexibility (extension approved) was really important to me as I have been able to work fulltime and study part time successfully. Content and online learning material was great and I found the final observation / assessment in module 9 (2.5hrs) to be insightful and enjoyable. I will be furthering my studies  (Psychology) but would highly recommend Open Colleges."
1,2022-05-11T01:51:04.000Z,I have tried to request an extention to…,"I have tried to request an extention to a course due to pandemic, impacting my study time due to children at home and death in family. I have submitted supporting focuments and after that hot two emails suggesti g O should apply for extention which I did more than once.When I tried to submit a review on there website it didnt allow me u less I di mediation first. The other option was enabled. This is more than two months ago that I requested."
5,2022-04-22T09:25:05.423Z,During doing my course with open…,"During doing my course with open colleges, I had a good experience because I had a fantastic assessor Rosan Lal who is always helpful whenever I needed help or have questions. Plus it is a online course which I like most as I work full time and wouldn't be able to attend classes.So thank you Rosan and other staffs who helped as well."
5,2022-02-23T04:46:41.000Z,stressed for no reason!,"I was so stressed that I didnt sleep all night! In the end I had nothing to worry about, Rosan made me feel at ease and it ended up being a very positive experience. He is highly qualified, his feedback was amazing, I feel lucky to have had this last assessment process with Rosan, it felt relaxed and incredibly informative. All in all I had a great morning and I am so excited to have finialised it."
1,2022-06-17T06:18:43.000Z,Unreasonable!!,"Work load is excessive, trainers are rude and they take peoples money by using ""policy"". No matter what your reason is, they genuinely don't care. Its a warning, please be prepared to pay regardless of your circumstance cause they literally have a special considerations section for nothing."
1,2022-11-07T06:59:37.000Z,I wouldn't recommend at all,"I wouldn't recommend at all. Waste of money. I faced health problem and try to contact them to looking for help and option for me to keep studying or change course. They simple don't care, they treat you as nothing."
1,2021-11-22T22:00:54.000Z,Do not attend open colleges I tried to…,Do not attend open colleges I tried to cancel my diploma because of an injury and they rejected my special circumstances they don’t want to accept special circumstances even though they say they offer it just so they can still claim 1/3 of the course I have a drs certificate and they have sent me to a creditor and I still have to pay 4 thousand DO NOT TRUST THIS COLLEGE
1,2021-11-03T23:07:20.000Z,Bad experience…,"I had a bad experience with OC and had to renew my contract with work placement of over 120 hours for a Certificate 3 in early childhood care and education. It ended up being 180 hours of work. Open college are bad in mathematics a well. I completed 75 % of my studies. However, my certificate of attainment only recorded 25 %. Policies need to be revised, they may be over a 100 years old."
5,2021-09-06T03:13:28.000Z,I started my Diploma in community last year and was able to finish the course in less than a year,"I started my Diploma in community service last year and during my first conference meeting I was so confused as i have never studied online before. I didn't have a study buddy but with the assessment walkthrough it was so easy for me to get along my studies. My finall Assessor Rosan was so patient with me, made the entire process enjoyable. I am happy I choose open college."
1,2021-08-18T05:55:30.000Z,Did not provide course materials after full payment,"Very hard to deal with.  I am halfway through my course and they would not unlock my modules unless I pay for the full amount. After I paid for my full amount, they denied access to the modules because they said my course expired.  I am currently reporting them to the ombudsman, department of education and consumer of affairs.  Not fair that I am denied access to the materials that I paid in full."
5,2021-09-01T02:38:00.000Z,Had a very good experience,"Had a very good experience with Open College, would definitely join again for future certifications. Assesses are very easy to communicate and approachable specially Tanya Galey and Holly. Very friendly and understanding. Was little disappointed when I read the news about how Open college will charge extra fees after your second submission of each assessment for markings."
1,2021-10-27T22:33:28.000Z,Open Colleges do not act with integrity,"Open Colleges do not honour their agreement and only act in their own interest rather than the student/consumer. They breach their contractual obligations but wont allow you to break yours. They are unfair, have no compassion and are all about the money. There are so many educational providers - please chose them. Open Colleges are the worst !"
